waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) Y
-0.2421460733944774,5.895322890897247e-08,-0.2380864606471422,5.901341405443436e-08,-0.2446927312149325,5.869192984234197e-08,-0.2491459565462644,5.833799226790887e-08
-0.243041031639079,6.031166654721409e-08,-0.2389884586204349,6.036463393095044e-08,-0.2456023180497087,6.003086546962097e-08,-0.2500623982967904,5.966559721541702e-08
-0.243936271578534,6.170125281685563e-08,-0.239890834082622,6.174658192192829e-08,-0.2465123493938146,6.140012224226021e-08,-0.2509793334546311,6.102319454277712e-08
-0.2448317950098671,6.312269720998126e-08,-0.2407935899803224,6.315995108975761e-08,-0.2474228285820192,6.280038150956523e-08,-0.2518967654279551,6.24114574000749e-08
-0.2457276037544767,6.457672523916334e-08,-0.2416967292803527,6.460544999768217e-08,-0.2483337589590422,6.423233984991166e-08,-0.2528146976235603,6.383107401825249e-08
-0.2466236996581204,6.606407879545372e-08,-0.2426002549694157,6.608380305483526e-08,-0.2492451438789345,6.569670941227817e-08,-0.2537331334460056,6.528274805038558e-08
-0.247520084590902,6.758551651429794e-08,-0.2435041700537772,6.759575086901029e-08,-0.2501569867044438,6.719421826560739e-08,-0.2546520762967239,6.676719892090021e-08
-0.2484167604472536,6.914181414953816e-08,-0.2444084775589335,6.91420506073502e-08,-0.2510692908063648,6.87256107561831e-08,-0.2555715295731253,6.828516218292703e-08
-0.2493137291459198,7.073376495569622e-08,-0.2453131805292701,7.072347636513953e-08,-0.251982059562875,7.029164787321744e-08,-0.2564914966676832,6.983738988398882e-08
-0.2502109926299374,7.236218007870379e-08,-0.2462182820277081,7.234081954288299e-08,-0.2528952963588551,7.189310762284266e-08,-0.2574119809670068,7.142465094021244e-08
-0.2511085528666162,7.402788895528246e-08,-0.2471237851353423,7.399488923187134e-08,-0.2538090045851953,7.353078541071385e-08,-0.2583329858509003,7.304773151928178e-08
-0.2520064118475158,7.573173972115158e-08,-0.2480296929510657,7.568651260842409e-08,-0.2547231876380847,7.520549443342161e-08,-0.2592545146914087,7.470743543233225e-08
-0.2529045715884215,7.747459962826678e-08,-0.2489360085911847,7.741653533701803e-08,-0.2556378489182869,7.691806607893671e-08,-0.2601765708518504,7.640458453500349e-08
-0.2538030341293174,7.925735547128705e-08,-0.2498427351890236,7.918582198250927e-08,-0.2565529918304001,7.866935033629525e-08,-0.261099157685837,7.814001913786975e-08
-0.2547018015343578,8.108091402347057e-08,-0.2507498758945144,8.099525643165606e-08,-0.2574686197821012,8.046021621475227e-08,-0.2620222785362809,7.991459842646827e-08
-0.2556008758918362,8.294620248221619e-08,-0.2516574338737776,8.284574232416733e-08,-0.2583847361833755,8.229155217262915e-08,-0.2629459367343923,8.172920089115987e-08
-0.2565002593141508,8.485416892445725e-08,-0.2525654123086902,8.473820349349955e-08,-0.2593013444457299,8.416426655608752e-08,-0.2638701355986635,8.358472476704489e-08
-0.2573999539377669,8.680578277212558e-08,-0.2534738143964403,8.667358441762889e-08,-0.2602184479813925,8.60792880480718e-08,-0.2647948784338443,8.548208848418285e-08
-0.2582999619231785,8.88020352679176e-08,-0.2543826433490695,8.865285068003351e-08,-0.2611360502024958,8.803756612766283e-08,-0.2657201685299069,8.742223112835138e-08
-0.2592002854548652,9.084393996158419e-08,-0.2552919023930027,9.067698944113247e-08,-0.2620541545202453,9.004007154009122e-08,-0.2666460091610003,8.940611291259231e-08
-0.2601009267412437,9.293253320697171e-08,-0.2562015947685656,9.274700992042419e-08,-0.2629727643440731,9.208779677767116e-08,-0.2675724035844,9.143471565980514e-08
-0.261001888014621,9.506887467007523e-08,-0.2571117237294871,9.486394388957608e-08,-0.2638918830807779,9.41817565719167e-08,-0.2684993550394463,9.350904329663405e-08
-0.2619031715311382,9.7254047848321e-08,-0.2580222925423887,9.70288461767285e-08,-0.2648115141336469,9.632298839709827e-08,-0.2694268667464779,9.563012235891748e-08
-0.2628047795707145,9.948916060134831e-08,-0.2589333044862618,9.924279518228109e-08,-0.265731660901569,9.851255298553776e-08,-0.27035494190576,9.779900250897116e-08
-0.2637067144369856,1.017753456935442e-07,-0.2598447628519289,1.015068934064266e-07,-0.2666523267781287,1.00751534854894e-07,-0.2712835836964067,1.000167570649654e-07
-0.2646089784572365,1.041137613485763e-07,-0.2607566709414919,1.0382226798872e-07,-0.2675735151506886,1.030410428477483e-07,-0.2722127952753011,1.022844835426877e-07
-0.2655115739823337,1.065055918162237e-07,-0.2616690320677659,1.061900712599649e-07,-0.2684952293994596,1.053822106837756e-07,-0.273142579776011,1.046033042099591e-07
